#chrom	strand	txStart	txEnd	proteinID	alignID
chr1	+	7150165	7163709	Q3TSP0	uc007agd.1
chr1	-	7339486	7387950		uc007age.1
chr1	-	7365968	7387950		uc007agf.1
chr1	-	8352741	8460600	Q925E1-2	uc007agg.1
chr1	-	8352741	9289811	Q8BNW6	uc007agh.1
chr1	-	8352741	9289811	Q8C415	uc007agi.1
chr1	-	8352741	9289811	Q8BNW6	uc007agj.1
chr1	-	8352741	9289811		uc011whz.1
chr1	+	8644100	8644126		uc011wia.1
chr1	-	8940644	9289811		uc011wib.1
chr1	+	9535488	9537536	NP_067486	uc007agk.2
chr1	+	9538126	9568049	Q8R0N6	uc007agl.2
chr1	+	9538126	9568049	Q8R0N6-2	uc007agm.2
chr1	+	9538126	9570754		uc011wic.1
chr1	-	9550913	9621173		uc007agn.2
chr1	-	9591103	9621173		uc007ago.2
chr1	+	9591347	9617223	Q8BG31	uc007agp.1
chr1	-	9658915	9690290	NP_032677	uc007agq.1
chr1	-	9710619	9714418		uc007agr.1
chr1	-	9713277	9738463	NP_775619	uc007ags.1
chr1	+	9737728	9782003		uc007agt.1
chr1	+	9788210	9892649	Q9ERE3	uc007agu.1
chr1	+	9788210	9892649	Q9ERE3	uc007agv.1
chr1	+	9788210	9892649		uc011wid.1
chr1	+	9788210	9892649	Q8VEK1	uc007agw.1
chr1	+	9838361	9892649	Q9ERE3	uc007agx.1
chr1	+	9838477	9892649	Q9ERE3	uc007agy.1
chr1	+	9898718	9912606	Q8CD58	uc007agz.1
chr1	+	9898718	9931035	NP_808390	uc011wie.1
chr1	-	9932105	9934199		uc007aha.1
chr1	-	9932550	9932624		uc011wif.1
chr1	-	9958706	9999211	Q8R1Z4	uc007ahb.1
chr1	-	9958706	9999211		uc007ahc.1
chr1	-	9985143	9999211	Q8R1Z4-2	uc007ahd.1
chr1	-	10014911	10027979	O35864	uc007ahe.1
chr1	-	10021000	10027979	Q3V0K7	uc007ahf.1
chr1	+	10028298	10050540	D3Z378	uc007ahg.1
chr1	+	10028298	10058057	Q9CQD5	uc007ahh.1
chr1	+	10028298	10126849	B2RX88	uc007ahi.1
chr1	+	10029853	10058057	Q8CCQ4	uc007ahj.1
chr1	+	10029853	10058057	Q9CQD5	uc007ahk.1
chr1	+	10029853	10058057	Q9CQD5	uc007ahl.1
chr1	-	10032921	10039091		uc007ahm.1
chr1	+	10035156	10078265	C7SBE4	uc011wig.1
chr1	+	10036573	10126849	C7SBE3	uc011wih.1
chr1	-	10127587	10222751	NP_001095900	uc007ahn.1
chr1	-	10146479	10150141		uc007aho.1
chr1	-	10163155	10206640	D3YYK9	uc007ahp.1
chr1	-	10314807	10710024	Q5U901	uc007ahq.1
chr1	-	10314807	10710024	Q5U901-2	uc007ahr.1
chr1	+	10983545	11293763	NP_083801	uc007ahs.2
chr1	+	11088543	11140152	Q3LAC4-2	uc007aht.1
chr1	+	11130771	11150677	Q8BY00	uc007ahu.1
chr1	+	11254043	11293763	Q3UWW3	uc007ahv.2
chr1	+	11404185	11586398	Q8BZJ8-3	uc011wii.1
chr1	+	11404185	11591902	Q8BZJ8-4	uc007ahy.2
chr1	+	11404185	11591902	Q8BZJ8-2	uc007ahw.2
chr1	+	11404185	11965983	Q8BZJ8	uc007ahx.2
chr1	+	11404185	11965983	B2RQF6	uc011wij.1
chr1	+	11404185	11965983	B7ZN57	uc011wik.1
chr1	+	11586231	11923821	NP_796147	uc007ahz.1
chr1	+	12682510	12850453	Q8K007	uc007aia.2
chr1	+	12682510	12850453	Q8K007	uc007aib.2
chr1	+	12708625	12812997	Q8K007	uc007aic.1
chr1	+	12708625	12850453	Q8K007	uc007aid.1
chr1	+	12832729	12850453		uc007aie.1
chr1	-	12856630	12981216	NP_766429	uc007aif.1
chr1	-	12868675	12981044	Q148W2	uc007aig.1
chr1	-	12868675	12981044	Q148W1	uc007aih.1
chr1	-	12868675	12981216	Q8BY69	uc007aii.1
chr1	-	13103508	13117244	NP_001074678	uc007aik.1
chr1	-	13129239	13362520	NP_001071163	uc007ail.1
chr1	-	13129239	13364164	NP_032704	uc007aim.1
chr1	-	13129239	13364164	NP_001071163	uc007ain.1
chr1	-	13154581	13364164	Q61026	uc007aio.1
chr1	-	13156005	13364164	Q8BN74	uc007aip.1
chr1	-	13172364	13362520	Q8CAG7	uc007aiq.1
chr1	-	13174686	13364164	Q8C7Y3	uc007air.1
chr1	-	13333668	13337135		uc007ais.1
chr1	-	13554782	13579945	Q4FK14	uc007ait.1
chr1	-	13615979	13650590	Q99KR3	uc007aiu.1
chr1	+	13658851	13691804	Q5GH62	uc007aiv.1
chr1	-	13775765	13777010		uc011wil.1
chr1	-	14159038	14294651	Q8C9D0	uc007aiw.1
chr1	-	14159038	14300280	NP_034294	uc007aix.1
chr1	-	14159038	14300280	Q6NXW1	uc007aiy.1
chr1	-	14159038	14300280	Q8C9D0	uc007aiz.1
chr1	-	14743428	14746047	O88940	uc007aja.1
chr1	+	14746275	14767012		uc007ajb.1
chr1	-	14862728	14908943	Q8BLA8	uc007ajc.1
chr1	-	15258710	15258997		uc007ajd.1
chr1	+	15302532	15704295	NP_001091998	uc007aje.1
chr1	+	15795738	15812094	P70371	uc007ajf.1
chr1	+	15795738	15812184	P70371	uc007ajg.1
chr1	+	15795738	15833510	P70371	uc007ajh.1
chr1	+	15795738	15833510	Q3V252	uc007aji.1
chr1	-	15843942	15882803	Q3UPR9	uc007ajj.1
chr1	-	16056059	16083406		uc007ajk.1
chr1	-	16091375	16094514	NP_035421	uc007ajl.2
chr1	+	16095962	16122631	Q8VCH7	uc007ajm.1
chr1	-	16218890	16509383	Q8CJ67	uc007ajn.2
chr1	-	16218890	16509383	Q8CJ67-2	uc007ajo.2
chr1	-	16334278	16509383	Q8CJ67-3	uc007ajq.2
chr1	-	16449795	16509383	Q8CJ67-5	uc007ajr.2
chr1	-	16530870	16609367	Q3V321	uc007ajs.1
chr1	-	16559486	16609367	Q8VDW4	uc007ajt.1
chr1	-	16574238	16609367	Q8VDW4	uc007aju.1
chr1	-	16632845	16646946	P83940	uc007ajv.1
chr1	-	16632845	16647123	P83940	uc007ajw.1
chr1	+	16655271	16668356	NP_080668	uc007ajx.1
chr1	+	16655271	16668356	Q921N7	uc007ajy.1
chr1	+	16678536	16699686	Q14AM4	uc007ajz.2
chr1	+	16678536	16699686	NP_001153183	uc011wim.1
chr1	-	16987544	17087879	Q9ET80	uc007aka.1
chr1	+	17135453	17148825	O88741-2	uc007akb.2
chr1	+	17135453	17154351	O88741	uc007akc.2
chr1	+	17158485	17163184		uc007akd.1
chr1	+	17591981	17621020	NP_444421	uc007ake.2
chr1	-	17666107	17717727		uc007akf.1
chr1	+	17717132	17756288	Q8CGD2	uc007akg.1
chr1	+	17717497	17756288	Q8CGD2	uc007akh.1
chr1	-	18105271	18127133	Q9D259	uc007aki.1
chr1	-	18105271	18135983	Q9D259	uc007akj.1
chr1	-	18105271	18135983	Q9D259	uc007akk.1
chr1	-	18200133	18213645		uc007akl.1
chr1	-	18226553	18227524	Q30KP5	uc007akm.1
chr1	-	18241058	18255219	Q8C1G4	uc007akn.2
chr1	-	18250604	18255219	Q30KP6	uc007ako.1
chr1	+	19093102	19156413	Q91ZK0	uc007akp.1
chr1	+	19198994	19228164	Q8CE69	uc007akq.1
chr1	+	19198994	19228815	Q61313	uc007akr.1
chr1	+	19202134	19204523	Q8CBL0	uc007aks.1
chr1	+	19202134	19228815	NP_001020476	uc007akt.1
chr1	+	19204007	19228815	Q61313	uc007aku.1
chr1	-	20047859	20608138	NP_694819	uc007akv.1
chr1	-	20583033	20608138	Q3UNU5	uc007akw.1
chr1	-	20596410	20608138	Q3UNU5	uc007akx.1
chr1	+	20669090	20672968		uc011win.1
chr1	+	20720985	20724577	Q544E6	uc007aky.1
chr1	-	20767229	20769635	Q7TNI7-2	uc007akz.1
chr1	-	20767229	20774351	Q7TNI7	uc007ala.1
chr1	+	20793092	20793462		uc007alb.1
chr1	-	20793094	20810294	Q3UI57	uc007alc.1
chr1	+	20880702	20928837	Q80ZE5	uc007ald.1
chr1	+	20907920	20928837	Q80ZE5	uc007ale.1
chr1	+	20941706	20980922	B2CKC6	uc007alf.2
chr1	-	20991458	21069306	Q924Z5	uc007alg.1
chr1	+	21156578	21177708		uc007alh.1
chr1	+	21208711	21220245	D3YV08	uc007ali.1
chr1	+	21208711	21220248	P56983	uc007alj.1
chr1	+	21230669	21255640	P30115	uc007alk.1
chr1	+	21230669	21255640	P30115	uc007all.1
chr1	-	21275326	21288393	D3Z5C6	uc007alm.1
chr1	+	21339757	21342280	Q3UWR2	uc007aln.1
chr1	+	21358411	21359824	Q4KL78	uc007alo.1
chr1	+	21373636	21376465	P0C7A0	uc007alp.2
chr1	-	21388483	21952023	NP_001153611	uc011wio.1
chr1	-	21388483	21952023	Q9JK45	uc007alq.2
chr1	-	21414129	21477414		uc009uzv.1
chr1	-	22278502	22305924	Q7TPL9	uc007alr.1
chr1	-	22278502	22812563	Q99NE5	uc007als.1
chr1	-	22278502	22812563	Q99NE5-3	uc007alt.1
chr1	-	22278502	22812563	Q99NE5-4	uc007alu.1
chr1	-	22278502	22812563	Q99NE5-5	uc007alv.1
chr1	-	22278502	22812563	Q99NE5-6	uc007alw.1
chr1	-	22475029	22516186		uc007alx.1
chr1	-	22600114	22812563	Q6BCW5	uc007aly.1
chr1	-	23107312	23109092	Q14BX6	uc007alz.1
chr1	+	23279107	23279178		uc011wip.1
chr1	+	23298539	23298623		uc007ama.2
chr1	-	23373262	23390014	Q8VE52	uc007amb.1
chr1	-	23398587	23404611		uc007amc.1
chr1	+	23768764	23822579	P59270-2	uc007amd.1
chr1	+	23768764	23854697	NP_742122	uc007ame.1
chr1	-	23851684	23916575		uc007amf.1
chr1	-	23852465	23916575	D3YVX4	uc007amg.1
chr1	-	23852465	23929128	Q91VZ6	uc007amh.1
chr1	-	23855633	23916575	D3YVX4	uc007ami.1
chr1	-	24002777	24012479	Q8BTE0	uc007amj.2
chr1	-	24017596	24037367		uc011wiq.1
chr1	-	24017596	24037403	Q6NS59-2	uc007amk.2
chr1	-	24017596	24107180	Q6NS59	uc007aml.2
chr1	-	24058602	24107180		uc007amn.2
chr1	+	24184448	24259577	NP_031766	uc007amo.2
chr1	+	24202068	24259577	Q9D0D2	uc007amp.2
chr1	-	24264521	24459584	Q0VF58	uc011wir.1
chr1	-	24264521	24594276	Q0VF58	uc007amq.1
chr1	-	24286608	24594276	D3Z196	uc007amr.1
chr1	-	24620809	24621651		uc007ams.1
chr1	+	24685382	24823146	Q8K0B2	uc007amt.1
chr1	+	24685764	24823146	Q8K0B2-3	uc007amu.1
chr1	-	25124320	25285945	Q8BIW2	uc007amv.2
chr1	-	25124320	25883620	Q80ZF8	uc007amw.2
chr1	-	25124320	25886552	NP_783573	uc011wis.1
chr1	-	25148298	25285945	Q8BJ13	uc007amy.1
chr1	+	25991152	25991180		uc011wit.1
chr1	-	26738645	26744305	NP_001028936	uc007amz.2
chr1	+	27940890	27959032		uc007ana.1
chr1	-	28832966	28837097	NP_001013772	uc007anb.1
chr1	-	30775398	30776806		uc007anc.1
chr1	+	30827176	30827640		uc007and.1
chr1	-	30859186	30920101	B2RQG2	uc007ane.1
chr1	-	30870415	30930717	Q8BLA7	uc007anf.1
chr1	-	30872159	30930717	Q8BLA7	uc007ang.1
chr1	-	30997147	31006600	NP_035330	uc007anh.1
chr1	-	30997147	31006600	NP_035330	uc007ani.1
chr1	-	31197922	31279501	Q9D4J5	uc007anj.2
chr1	+	31233279	31261570	Q8CIX8	uc007ank.1
chr1	-	31259786	31279501	Q9D4S9	uc007anl.2
chr1	+	31279683	31281132	NP_083338	uc007anm.1
chr1	+	31321691	31324906		uc011wiu.1
chr1	+	32229650	32303717		uc007ann.1
chr1	+	32229650	32395186	Q9WU01-2	uc007ano.1
chr1	+	32229650	32714583	Q9WU01	uc007anp.1
chr1	-	32576407	32577844	Q6IE03	uc011wiv.1
chr1	-	32600390	32604138	NP_001157758	uc011wiw.1
chr1	-	33510655	33726603	P33610	uc007anq.1
chr1	-	33535786	33678987	Q3TL46	uc007anr.1
chr1	+	33539198	33539228		uc007ans.1
chr1	+	33726668	33727557	Q9CPU6	uc007ant.2
chr1	+	33776740	33783736	NP_033025	uc007anu.1
chr1	+	33776740	33792199	Q0PD32	uc007anv.1
chr1	+	33776740	33799409	Q9D4I9	uc007anw.2
chr1	+	33776740	33799409	Q9D4I9	uc007anx.2
chr1	+	33777263	33799409	Q9D4I9	uc011wix.1
chr1	-	33802328	33814595	Q91YN9	uc007any.1
chr1	-	33818597	33871272	Q8C0P7	uc007anz.1
chr1	-	33818597	33871272	Q8C0P7	uc007aoa.1
chr1	-	33858804	33871272	Q8VCL4	uc007aob.1
chr1	-	33892743	33895759	NP_001155288	uc011wiy.1
chr1	-	33908896	33964466	Q6PFX2	uc007aoc.1
chr1	-	33908896	33964466	Q6PFX2-3	uc007aod.1
chr1	-	33908896	33964466		uc011wiz.1
chr1	-	33920015	33940687	Q6PFX2-2	uc007aoe.1
chr1	+	33965069	34220316		uc007aof.1
chr1	+	34062727	34193980		uc007aog.1
chr1	+	34062994	34193980		uc007aoh.1
chr1	+	34068669	34365497	NP_604443	uc007aoi.1
chr1	+	34068669	34365497	NP_598594	uc007aoj.1
chr1	+	34178426	34209364	Q1KP04	uc007aok.1
chr1	+	34217176	34240121	Q91ZU6-5	uc007aol.1
chr1	+	34272113	34286091		uc007aom.1
chr1	+	34282353	34319096	Q6ZQ59	uc007aon.1
chr1	+	34344031	34365497		uc007aoo.1
chr1	+	34347203	34365497		uc007aop.1
chr1	-	34493514	34496517	Q8VE99	uc011wja.1
chr1	+	34496673	34502592	Q8VHZ7	uc007aor.2
chr1	+	34516590	34530624	Q61152	uc007aos.1
chr1	+	34529580	34532578		uc007aot.1
chr1	-	34534219	34542456		uc007aou.1
chr1	+	34555274	34559907	O70169	uc007aov.1
chr1	+	34592492	34601156	P97766	uc007aow.1
chr1	-	34600819	34617788		uc011wjb.1
chr1	-	34609176	34617788	NP_033382	uc007aox.1
chr1	+	34636537	34647789	Q6NS69	uc011wjc.1
chr1	+	34657654	34657693		uc007aoz.1
chr1	+	34657942	34657970		uc007apa.1
chr1	+	34658311	34658343		uc007apb.1
chr1	+	34659281	34659316		uc007apc.1
chr1	+	34663222	34663252		uc007apd.1
chr1	-	34690379	34693055		uc011wjd.1
chr1	+	34735032	34781146		uc007ape.1
chr1	+	34778768	34869599		uc007apf.1
chr1	+	34858566	34865756		uc007apg.1
chr1	+	34858566	34866063	E0CY60	uc007aph.1
chr1	+	34858566	34869599	Q3TQN9	uc007api.1
chr1	-	34870062	34899895	NP_001153707	uc011wje.1
chr1	-	34870062	34899895	Q80XQ8	uc007apj.2
chr1	-	34870062	34899895	NP_001153708	uc011wjf.1
chr1	+	34906803	34930801	Q3UFC9	uc007apk.1
chr1	+	34906803	34936430	Q9QZC7	uc007apl.1
chr1	+	35936689	35937964		uc007apm.1
chr1	+	36125244	36163291	Q9QYK5	uc007apn.2
chr1	-	36196872	36222656		uc007apo.2
chr1	-	36196872	36301147	NP_942602	uc007app.2
chr1	-	36196872	36301147	Q6P5E4	uc007apq.2
chr1	-	36236098	36301147	Q8BWM7	uc007apr.2
chr1	-	36321446	36330270	Q8CJC5	uc007aps.1
chr1	-	36325801	36330270	Q8CJC5-2	uc007apt.1
chr1	+	36364577	36380874	Q3U108	uc007apv.2
chr1	+	36364577	36380874	Q3U108-5	uc007apx.2
chr1	+	36364577	36380874	NP_001165677	uc011wjg.1
chr1	+	36364577	36380874	Q3U108-4	uc007apu.2
chr1	+	36364577	36380874	D3Z0W0	uc007apw.2
chr1	+	36364577	36380874	Q3U108-3	uc007apy.2
chr1	+	36364577	36380874	Q3U108-5	uc011wjh.1
chr1	-	36392574	36424859	A2RSY1	uc011wji.1
chr1	-	36392574	36424879	A2RSY1	uc007apz.1
chr1	-	36392574	36426026	A2RSY1-2	uc007aqa.1
chr1	-	36392574	36426026	A2RSY1-3	uc011wjj.1
chr1	+	36473732	36478955		uc007aqb.1
chr1	-	36480030	36498424	P59481	uc007aqc.1
chr1	-	36480030	36502084	P59481	uc007aqd.1
chr1	-	36480030	36502084	P59481	uc007aqe.1
chr1	-	36480030	36502084	Q05CD1	uc007aqf.1
chr1	+	36528441	36565621	Q69ZF7	uc007aqg.2
chr1	+	36568720	36585082	Q32NY4-2	uc007aqi.1
chr1	+	36568720	36585082	Q32NY4	uc007aqj.1
chr1	+	36568720	36585082	Q32NY4	uc007aqk.1
chr1	+	36575796	36585082		uc011wjk.1
chr1	-	36587378	36592574	A2RT50	uc007aql.1
chr1	-	36587378	36592574	B7ZNT7	uc011wjl.1
chr1	-	36587378	36593401	A2RT50	uc007aqm.1
chr1	-	36587378	36596203	Q8K1D0	uc007aqn.1
chr1	-	36595017	36604046	Q14A32	uc007aqo.1
chr1	-	36595017	36604046	Q14A32	uc011wjm.1
chr1	-	36595017	36604064		uc007aqp.1
chr1	-	36605486	36614402	Q64151	uc007aqq.2
chr1	-	36605486	36615226	Q64151	uc007aqr.2
chr1	-	36612776	36615226		uc007aqs.2
chr1	-	36619540	36650177	Q24JP3-4	uc007aqu.2
chr1	-	36619540	36740028	NP_001119518	uc011wjn.1
chr1	-	36656818	36740028	NP_958753	uc007aqv.2
chr1	+	36748331	36750233	Q9D881	uc007aqw.1
chr1	-	36756046	36766770	NP_666219	uc007aqx.1
chr1	+	36771382	36814798		uc007aqy.1
chr1	+	36818705	36839661	NP_033565	uc007aqz.1
chr1	+	36835828	36839661	P43404-2	uc007ara.1
chr1	+	36836498	36839661	P43404-3	uc007arb.1
chr1	-	36849033	36865321	A4VCH7	uc007arc.1
chr1	-	36849033	36996372	NP_061360	uc007ard.1
chr1	+	37086160	37120494	Q810N7	uc007are.1
chr1	+	37086160	37133840	Q8BH17	uc011wjo.1
chr1	+	37086160	37133840	Q8BH17	uc007arf.1
chr1	+	37214177	37244450		uc011wjp.1
chr1	+	37232330	37244450		uc007arh.2
chr1	+	37276105	37320229	Q8CFV6	uc007ari.1
chr1	+	37356737	37359647		uc007arj.1
chr1	+	37356737	37456402	Q3UEQ1	uc007ark.1
chr1	+	37356737	37467580	D3YUD3	uc007arl.2
chr1	-	37390383	37391017		uc007arm.1
chr1	+	37426065	37461284	NP_766559	uc007arn.1
chr1	+	37426065	37461284	Q0VBQ7	uc011wjq.1
chr1	+	37426065	37461284	B7ZMQ9	uc011wjr.1
chr1	-	37473929	37486948	Q99M07	uc007aro.2
chr1	+	37487016	37495969	Q9CQ61	uc007arp.1
chr1	+	37487030	37495969	Q9CQ61	uc007arq.1
chr1	-	37496184	37552940	D3Z166	uc007arr.2
chr1	-	37496184	37593249	Q812G0	uc007art.2
chr1	-	37496184	37593249	Q812G0-2	uc007aru.2
chr1	-	37496184	37597858	Q812G0	uc007arv.2
chr1	-	37542695	37545450		uc011wjs.1
chr1	-	37668520	37776656	NP_082372	uc007arx.2
chr1	-	37668521	37682913	Q6GQT3	uc007arw.1
chr1	-	37694705	37776656		uc007ary.1
chr1	-	37811620	37921924	Q6NY15	uc007arz.1
chr1	-	37817668	37912218	Q6NY15-2	uc007asa.1
chr1	-	37817668	37912218	Q6NY15-3	uc007asb.1
chr1	-	37817668	37922143	Q6NY15-3	uc007asc.1
chr1	-	37889250	37921652	Q3TDR6	uc007asd.1
chr1	-	37889250	37921924	Q3TR21	uc007ase.1
chr1	-	37889250	37921924	Q3TR21	uc007asf.1
chr1	+	37922143	37928233		uc007asg.1
chr1	+	37929050	37933143	Q8VCM4	uc007ash.2
chr1	-	37935734	37947256	Q8VDV8	uc007asi.1
chr1	+	37947397	37955178	Q9D7N6	uc007asj.1
chr1	-	37962767	37973338	Q3V1I0	uc007ask.1
chr1	-	38003582	38014604	Q0VE18	uc007asl.1
chr1	-	38040711	38054053	Q9CQ79	uc007asm.1
chr1	-	38040711	38054095	Q9CQ79	uc007asn.1
chr1	+	38054854	38112424	Q05D44	uc007aso.1
chr1	-	38109630	38140672	Q920Q2	uc007asp.1
chr1	-	38109630	38145519	Q920Q2	uc007asq.1
chr1	-	38109630	38186507	Q920Q2	uc007asr.1
chr1	-	38234171	38721800	NP_034808	uc007ass.2
chr1	-	38264750	38592136	D3YYI6	uc007ast.1
chr1	-	38266397	38684089	P51827	uc007asu.1
chr1	+	38441793	38450819		uc007asw.1
chr1	-	38851353	38878060	B2RT44	uc007asx.1
chr1	-	38920717	38955005	A2RSS2	uc007asy.1
chr1	-	38920717	38955005	A2RSS2	uc011wjt.1
chr1	-	38920717	38955005	A2RSS2	uc007asz.1
chr1	-	38926987	38955005	Q6PGK7-2	uc007ata.1
chr1	+	38995993	39007121	Q5H8A1	uc007atb.1
chr1	+	39044658	39054081	Q8BVF2	uc007atc.1
chr1	+	39251116	39420085	NP_032745	uc007atd.2
chr1	+	39424695	39428211	D3YWP7	uc007ate.2
chr1	+	39424695	39428755	NP_444487	uc007atf.2
chr1	-	39428341	39535592	Q9Z1A9	uc007atg.2
chr1	-	39430160	39535592	Q9Z1A9	uc007ath.2
chr1	+	39592398	39603722	Q9CWN7	uc007ati.1
chr1	+	39595089	39603722	Q8C9T0	uc007atj.1
chr1	-	39604432	39608847		uc007atk.1
chr1	-	39605591	39605685		uc011wju.1
chr1	-	39608143	39634192	NP_001028307	uc007atl.2
chr1	-	39675250	39708027	Q8BGC9	uc007atm.1
chr1	-	39722145	39777834	D3YU81	uc007atn.2
chr1	-	39860985	39862177	NP_001170819	uc007ato.2
chr1	-	39899272	39904175		uc007atp.1
chr1	-	39899272	39904175		uc007atq.1
chr1	+	39957757	40083155	NP_032722	uc007atr.1
chr1	+	39957757	40083155	B2RUE8	uc007ats.1
chr1	+	39957757	40083155	B7ZNR8	uc011wjv.1
chr1	+	39957757	40083155	B2RUE8	uc011wjw.1
chr1	+	39957757	40083155	B7ZNR9	uc011wjx.1
chr1	-	40133072	40142696		uc007att.1
chr1	+	40141612	40182070	Q4FK69	uc007atu.1
chr1	+	40141612	40182070	Q4FK69	uc011wjy.1
chr1	+	40281924	40373022	Q32MH0	uc007atv.1
chr1	+	40323430	40373022	Q8C833	uc007atw.1
chr1	+	40381471	40422316	Q149G7	uc007atx.1
chr1	+	40381534	40422316	Q149G7	uc007aty.1
chr1	+	40486449	40505207	Q5D095	uc007atz.2
chr1	+	40496493	40505207	Q5D095	uc007aua.2
chr1	+	40496493	40522259	P14719	uc007aub.2
chr1	+	40497472	40522259	P14719	uc007auc.2
chr1	+	40522396	40548425	Q8C257	uc007aud.1
chr1	+	40522465	40541188	Q8C257	uc007aue.1
chr1	+	40522465	40548425	Q8C257	uc007auf.1
chr1	+	40522814	40548425	Q8C257	uc007aug.1
chr1	+	40522850	40557678		uc007auh.1
chr1	+	40522850	40557699	Q61098	uc011wjz.1
chr1	+	40572206	40583762	Q3UV73	uc007aui.1
chr1	+	40572206	40596330	Q3UV73	uc007auj.1
chr1	+	40572206	40606142	Q0VBK3	uc007auk.1
chr1	+	40637071	40687576	Q8BUE1	uc007aul.1
chr1	+	40738556	40784005	Q3TM63	uc007aum.1
chr1	+	40738556	40825730	Q3ZAS0	uc007aun.1
chr1	-	40828884	40847502	Q8C0T7	uc007auo.1
chr1	-	40828884	40847502	Q8C0T7	uc007aup.1
chr1	+	40862445	40912112	B2RVY9	uc007auq.1
chr1	-	42705044	42724517		uc007aur.1
chr1	-	42705044	42749960		uc007aus.1
chr1	-	42705044	42749960		uc007aut.1
chr1	-	42705044	42751670		uc007auu.1
chr1	-	42749876	42751670		uc007auv.1
chr1	+	42753990	42757054	NP_032926	uc007auw.1
chr1	+	42757180	42760021		uc007aux.2
chr1	-	42763916	42764897		uc007auy.1
chr1	+	42908077	42938776	NP_076003	uc007auz.2
chr1	+	42908077	42962528	Q14AZ3	uc007ava.2
chr1	+	42919313	42955972	Q5XJX8	uc007avb.1
chr1	+	43009716	43011992		uc007avc.2
chr1	+	43009716	43092294	Q148B5	uc007avd.2
chr1	-	43104113	43149331	Q3UR70	uc007ave.1
chr1	-	43104113	43155467	Q3UR70	uc007avf.1
chr1	-	43111552	43117778		uc007avg.1
chr1	-	43131085	43149331	Q3UR70-2	uc007avh.1
chr1	-	43131085	43155482	Q3UR70-2	uc007avi.1
chr1	+	43155554	43172791	Q922M7	uc007avj.1
chr1	-	43179918	43220806	Q543D7	uc007avk.1
chr1	-	43179918	43253606	Q543D7	uc007avl.1
chr1	+	43245965	43246603	NP_033108	uc007avm.2
chr1	+	43502595	43519067		uc007avn.1
chr1	+	43502595	43627363	O55033	uc007avo.2
chr1	+	43787446	43799409	Q9D2U7	uc007avp.2
chr1	-	43807075	43884553	Q91XL3	uc007avq.1
chr1	-	43807075	43884553	Q91XL3	uc011wka.1
chr1	+	43990851	44013848	Q3V3M8	uc007avr.1
chr1	+	43990851	44047507		uc011wkb.1
chr1	+	43990851	44059816	Q64514	uc007avs.1
chr1	+	43990851	44059816	Q64514-2	uc007avt.1
chr1	+	44039916	44058344	Q922K4	uc007avu.1
chr1	-	44066252	44076851	B2RVS5	uc007avv.1
chr1	-	44067354	44076851		uc007avw.1
chr1	-	44143461	44159188	Q3TUU5	uc007avx.2
chr1	-	44143461	44159188	Q3TUU5	uc007avy.2
chr1	-	44143461	44159233	Q3TUU5	uc007avz.2
chr1	-	44143461	44159233	Q3TUU5	uc007awa.2
